Employee_ID,Full_Name,Age,Date_of_Birth,Gender,Email,Phone,Department,Job_Role,Join_Date,Salary,Employment_Status,Manager_ID,PAN_Number,Contract_Expiry
EMP0029,Employee_29,35,1989-05-17,Male,emp29@company.com,9895125977,Finance,Finance Manager,2021-10-13,119058.0,Active,,,
EMP0030,Employee_30,22,2002-05-06,Other,emp30@company.com,9895511909,Marketing,SEO Analyst,2015-06-30,68719.0,Active,,ABCDE1158F,
EMP0031,Employee_31,31,1993-10-18,Male,,9859555330,,Software Engineer,2022-10-01,,Active,,,
EMP0032,Employee_32,35,1989-06-25,Female,emp32@company.com,9823796726,Finance,Financial Analyst,2019-01-05,114399.0,Active,,ABCDE3532F,
EMP0033,Employee_33,33,1991-12-11,Female,emp33@company.com,9834073380,HR,HR Manager,2023-12-21,140528.0,Inactive,,ABCDE5065F,2023-07-01
EMP0034,Employee_34,24,2000-08-12,Male,emp34@company.com,9836786211,HR,HR Executive,2019-04-16,137537.0,Active,,ABCDE4164F,
EMP0035,Employee_35,26,1998-09-13,Other,emp35@company.com,9896098221,Marketing,SEO Analyst,2018-02-15,126361.0,Active,,ABCDE1452F,
EMP0036,Employee_36,38,1986-06-24,Female,emp36@company.com,9868326160,Engineering,Tech Lead,2017-01-01,30014.0,Inactive,,ABCDE9379F,2022-08-25
EMP0037,Employee_37,24,2000-09-22,Other,emp37@company.com,9879782527,Marketing,Content Writer,2017-11-09,117901.0,Active,,ABCDE4228F,
EMP0038,Employee_38,43,1981-12-10,Other,emp38@company.com,9826726926,Finance,Auditor,2015-10-14,106678.0,Active,,ABCDE7592F,
EMP0039,Employee_39,30,1994-11-24,Other,emp39@company.com,9860888017,Operations,Ops Executive,2021-03-20,50144.0,On Leave,,ABCDE7653F,
EMP0040,Employee_40,40,1984-10-21,Female,emp40@company.com,9887844239,Sales,Sales Executive,2018-05-29,52549.0,Active,,ABCDE4501F,
EMP0041,Employee_41,32,1992-11-21,Male,not_an_email,9879182797,Sales,BDM,2023-11-26,111356.0,Active,,ABCDE4848F,
EMP0042,Employee_42,34,,Male,,,,Ops Executive,2017-07-09,,Inactive,,ABCDE4185F,2025-11-27
EMP0043,Employee_43,37,1987-02-25,Male,emp43@company.com,9810744212,Marketing,Brand Manager,2019-06-25,44342.0,Active,,ABCDE9486F,
EMP0044,Employee_44,37,1987-03-26,Other,emp44@company.com,9871265269,Marketing,Marketing Executive,2021-04-02,145254.0,Active,,ABCDE6198F,
EMP0045,Employee_45,54,1970-08-06,Female,emp45@company.com,9883534128,Legal,Paralegal,2021-11-14,80933.0,Active,,ABCDE5050F,
EMP0046,Employee_46,55,1969-08-03,Male,emp46@company.com,9846855845,Legal,Legal Manager,2023-08-03,88517.0,Active,,ABCDE6238F,
EMP0047,Employee_47,31,1993-12-07,Female,emp47@company.com,9830509175,Sales,Sales Executive,2016-07-20,55311.0,Active,,ABCDE8633F,
EMP0048,Employee_48,48,1976-12-01,Other,emp48@company.com,9888393811,Marketing,Marketing Executive,2017-04-27,76049.0,Inactive,,ABCDE1096F,2023-12-22
EMP0049,Employee_49,56,1968-04-16,Female,emp49@company.com,9890967191,Finance,Auditor,2019-09-13,122978.0,Active,,ABCDE7371F,
EMP0050,Employee_50,32,1992-10-18,Female,emp50@company.com,9827129912,Finance,Auditor,2023-02-14,135166.0,Active,,ABCDE1444F,
EMP0051,Employee_51,51,1973-06-07,Female,not_an_email,9860882459,,QA Analyst,2016-07-09,-48819.0,Active,EMP0049,ABCDE5558F,
EMP0052,Employee_52,11,,Other,,,,Paralegal,2017-10-30,,Active,EMP0003,ABCDE5051F,
EMP0053,Employee_53,31,1993-02-19,Female,emp53@company.com,9899853245,HR,HR Executive,2021-12-19,56266.0,On Leave,EMP0045,ABCDE7043F,
EMP0054,Employee_54,32,1992-05-19,Female,emp54@company.com,9813446499,HR,HR Executive,2023-09-21,65768.0,Active,EMP0026,ABCDE4249F,
EMP0055,Employee_55,41,1983-10-26,Other,emp55@company.com,9826247735,Engineering,Senior Engineer,2016-02-22,136449.0,Active,EMP0028,ABCDE2129F,
EMP0056,Employee_56,48,1976-06-21,Female,emp56@company.com,9868186525,Sales,Sales Manager,2015-02-21,132784.0,Inactive,EMP0046,ABCDE3885F,2024-12-04
EMP0057,Employee_57,56,1968-12-19,Male,emp57@company.com,9868461818,Operations,Ops Executive,2021-11-27,126533.0,Active,EMP0006,ABCDE8385F,
EMP0058,Employee_58,46,,Female,,,,HR Analyst,2021-05-23,,Active,EMP0022,ABCDE5526F,
EMP0059,Employee_59,34,1990-08-18,Other,emp59@company.com,9864549859,Sales,Sales Executive,2020-10-17,36221.0,Inactive,EMP0031,ABCDE9041F,2024-07-06
EMP0060,Employee_60,40,1984-05-22,Female,emp60@company.com,9842655866,Legal,Legal Analyst,2016-01-17,54045.0,Active,EMP0036,ABCDE7971F,
EMP0061,Employee_61,51,1973-02-24,Male,emp61@company.com,9840942292,Operations,Ops Executive,2018-12-12,60509.0,Active,EMP0048,ABCDE4033F,
EMP0062,Employee_62,52,1972-10-10,Male,emp62@company.com,9880415568,HR,HR Manager,2023-04-14,61241.0,On Leave,EMP0019,ABCDE3939F,
EMP0063,Employee_63,56,1968-09-10,Male,emp63@company.com,9817318358,Finance,Financial Analyst,2022-12-10,41591.0,Active,EMP0041,ABCDE9042F,
EMP0064,Employee_64,40,1984-03-02,Female,emp64@company.com,9855728776,Engineering,Software Engineer,2021-06-09,86524.0,Active,EMP0008,ABCDE7565F,
EMP0065,Employee_65,25,1999-05-03,Male,emp65@company.com,9885543051,Marketing,Marketing Executive,2021-06-21,44887.0,On Leave,EMP0036,ABCDE4697F,
EMP0066,Employee_66,50,1974-05-19,Other,emp66@company.com,9867556566,Legal,Paralegal,2020-01-20,63974.0,Active,EMP0048,,
EMP0067,Employee_67,35,1989-04-06,Male,emp67@company.com,9831079846,Legal,Compliance Officer,2022-01-06,59687.0,Active,EMP0001,ABCDE8699F,
EMP0068,Employee_68,40,1984-02-22,Female,emp68@company.com,9870939053,Finance,Financial Analyst,2017-08-06,117662.0,Active,EMP0041,ABCDE4241F,
EMP0069,Employee_69,36,1988-03-03,Female,emp69@company.com,9845652586,Marketing,Marketing Executive,2021-02-08,109886.0,Active,EMP0039,ABCDE5728F,
EMP0070,Employee_70,41,1983-09-18,Male,emp70@company.com,9846540265,Marketing,Marketing Executive,2020-04-03,116715.0,Active,EMP0039,,
EMP0071,Employee_71,38,1986-10-01,Other,emp71@company.com,9887201917,Marketing,SEO Analyst,2021-10-08,28390.0,On Leave,EMP0018,ABCDE3870F,
EMP0072,Employee_72,33,1991-02-16,Female,emp72@company.com,9875998319,Marketing,Brand Manager,2018-02-13,101720.0,Active,EMP0021,ABCDE3634F,
EMP0073,Employee_73,53,1971-09-02,Female,emp73@company.com,9863747791,Finance,Auditor,2022-10-12,62777.0,Active,EMP0017,ABCDE7622F,
EMP0074,Employee_74,56,1968-09-12,Female,emp74@company.com,9835176902,Legal,Legal Analyst,2022-05-17,85552.0,Active,EMP0041,ABCDE1845F,
EMP0075,Employee_75,30,1994-02-01,Other,emp75@company.com,9875056916,HR,Recruiter,2021-02-27,146591.0,On Leave,EMP0016,ABCDE6091F,
EMP0076,Employee_76,48,1976-08-04,Male,emp76@company.com,9825228493,Sales,Sales Executive,2021-03-12,37217.0,Active,EMP0032,ABCDE5781F,
EMP0077,Employee_77,52,1972-03-13,Other,emp77@company.com,9883989546,Sales,Sales Manager,2019-08-29,86894.0,Active,EMP0033,ABCDE3236F,
EMP0078,Employee_78,48,1976-05-27,Other,emp78@company.com,9878147397,Legal,Legal Analyst,2018-02-05,69548.0,Active,EMP0020,ABCDE9022F,
EMP0079,Employee_79,56,1968-09-13,Female,emp79@company.com,9884077101,Legal,Compliance Officer,2020-01-04,88483.0,Active,EMP0013,ABCDE4912F,
EMP0080,Employee_80,48,1976-12-26,Other,emp80@company.com,9873481797,Sales,BDM,2017-08-14,30720.0,Active,EMP0042,ABCDE9115F,
EMP0081,Employee_81,43,1981-02-17,Male,emp81@company.com,9869096899,Engineering,Senior Engineer,2020-08-19,138993.0,On Leave,EMP0047,ABCDE3529F,
EMP0082,Employee_82,38,1986-11-03,Other,emp82@company.com,9863349308,Engineering,QA Analyst,2023-10-07,69375.0,Inactive,EMP0035,ABCDE6188F,2025-07-07
EMP0083,Employee_83,24,2000-11-10,Other,not_an_email,9894712997,Operations,Coordinator,2021-01-25,-105931.0,On Leave,EMP0006,ABCDE2612F,
EMP0084,Employee_84,32,1992-01-11,Female,emp84@company.com,9813885234,Legal,Legal Analyst,2019-12-23,115964.0,Inactive,EMP0023,ABCDE3385F,2023-05-16
EMP0085,Employee_85,33,1991-07-20,Female,emp85@company.com,9891804602,Sales,BDM,2021-05-07,47280.0,Active,EMP0038,ABCDE8555F,
EMP0086,Employee_86,11,,Female,,,,Ops Executive,2020-02-26,,Active,EMP0023,ABCDE5901F,
EMP0087,Employee_87,38,1986-07-28,Male,emp87@company.com,9836738452,Operations,Coordinator,2022-09-28,84878.0,Active,EMP0025,ABCDE5847F,
EMP0088,Employee_88,14,,Male,,,,Ops Executive,2015-03-31,,Active,EMP0039,ABCDE4588F,
EMP0089,Employee_89,38,1986-11-27,Male,emp89@company.com,9898473848,Operations,Process Manager,2021-12-18,113835.0,Active,EMP0041,ABCDE6061F,
EMP0090,Employee_90,45,1979-06-24,Male,emp90@company.com,9849609054,Legal,Paralegal,2015-05-17,120991.0,Active,EMP0009,ABCDE6994F,
EMP0091,Employee_91,38,1986-05-24,Male,emp91@company.com,9874672520,Sales,Sales Manager,2016-11-04,144806.0,Inactive,EMP0030,ABCDE3306F,2023-04-08
EMP0092,Employee_92,45,1979-05-18,Female,emp92@company.com,9811868130,Legal,Paralegal,2021-04-01,36836.0,Active,EMP0044,ABCDE5295F,
EMP0093,Employee_93,45,1979-01-20,Other,emp93@company.com,9873280554,Sales,BDM,2022-02-28,39201.0,Inactive,EMP0021,ABCDE4626F,2025-08-19
EMP0094,Employee_94,41,1983-01-02,Female,emp94@company.com,9828760553,Engineering,QA Analyst,2022-11-11,110097.0,Active,EMP0008,,
EMP0095,Employee_95,51,1973-07-19,Male,emp95@company.com,9882503409,Sales,Account Manager,2019-05-11,73629.0,Active,EMP0027,ABCDE9017F,
EMP0096,Employee_96,24,2000-08-08,Male,emp96@company.com,9869509870,Sales,BDM,2018-02-19,115476.0,Inactive,EMP0044,ABCDE6876F,2022-05-05
EMP0097,Employee_97,29,1995-02-22,Other,emp97@company.com,9871031132,Marketing,SEO Analyst,2017-02-16,149388.0,Active,EMP0039,ABCDE1828F,
EMP0098,Employee_98,30,1994-09-07,Male,emp98@company.com,9819208698,Legal,Legal Manager,2017-09-24,128150.0,Active,EMP0022,ABCDE1046F,
EMP0099,Employee_99,56,1968-11-28,Male,emp99@company.com,9824754064,Finance,Accountant,2016-06-16,57853.0,Active,EMP0023,ABCDE4898F,
EMP0100,Employee_100,33,1991-09-04,Female,not_an_email,9866500369,,Sales Manager,2015-03-06,-59782.0,Active,EMP0029,ABCDE9408F,
EMP0101,Employee_101,54,1970-12-26,Other,emp101@company.com,9815820356,Sales,Sales Executive,2020-01-26,54038.0,On Leave,EMP0034,ABCDE1510F,
EMP0102,Employee_102,49,1975-02-03,Male,emp102@company.com,9869533928,Engineering,QA Analyst,2019-07-04,114928.0,Active,EMP0005,ABCDE9984F,
EMP0103,Employee_103,55,1969-07-04,Male,emp103@company.com,9891259008,Operations,Ops Executive,2019-04-10,63652.0,Inactive,EMP0042,ABCDE4522F,2024-05-30
EMP0104,Employee_104,43,1981-12-04,Female,emp104@company.com,9865833185,Marketing,Content Writer,2019-08-22,133451.0,Active,EMP0043,ABCDE3500F,
EMP0105,Employee_105,27,1997-02-24,Male,not_an_email,9867965485,Operations,Coordinator,2015-10-02,134022.0,Active,EMP0036,,
EMP0106,Employee_106,29,1995-07-28,Male,emp106@company.com,9899300492,Sales,Sales Manager,2022-07-07,78845.0,On Leave,EMP0019,ABCDE6761F,
EMP0107,Employee_107,52,1972-09-12,Female,emp107@company.com,9856991504,Engineering,Senior Engineer,2016-09-25,54392.0,Active,EMP0037,ABCDE8030F,
EMP0108,Employee_108,39,1985-06-12,Male,emp108@company.com,9851471222,Legal,Legal Analyst,2021-10-30,28794.0,Active,EMP0037,ABCDE2140F,
EMP0109,Employee_109,55,1969-06-06,Other,emp109@company.com,9870887307,HR,HR Executive,2016-01-11,53197.0,Active,EMP0021,ABCDE2391F,
EMP0110,Employee_110,25,1999-11-14,Female,not_an_email,9869473616,Engineering,Senior Engineer,2016-10-06,113338.0,Active,EMP0027,ABCDE9394F,
EMP0111,Employee_111,29,1995-08-17,Male,emp111@company.com,9889609131,Engineering,Tech Lead,2019-10-27,62125.0,Active,EMP0015,ABCDE1897F,
EMP0112,Employee_112,35,1989-05-11,Female,emp112@company.com,9844295247,Engineering,Senior Engineer,2018-05-19,125578.0,Active,EMP0048,ABCDE3116F,
EMP0113,Employee_113,57,1967-02-13,Male,emp113@company.com,9857535513,Marketing,Content Writer,2020-08-11,134229.0,Inactive,EMP0028,,2022-06-09
EMP0114,Employee_114,49,1975-07-10,Male,emp114@company.com,9895918360,Legal,Legal Manager,2021-06-16,100156.0,Active,EMP0021,ABCDE8538F,
EMP0115,Employee_115,49,1975-10-13,Female,emp115@company.com,9868475513,Legal,Legal Manager,2015-12-27,135688.0,Active,EMP0020,ABCDE4630F,
EMP0116,Employee_116,54,1970-04-25,Other,emp116@company.com,9878444607,Finance,Accountant,2015-11-09,107998.0,Active,EMP0042,ABCDE4871F,
EMP0117,Employee_117,34,1990-02-06,Other,emp117@company.com,9897980930,Engineering,Senior Engineer,2017-11-14,47740.0,On Leave,EMP0032,ABCDE8354F,
EMP0118,Employee_118,42,1982-08-21,Female,emp118@company.com,9872937522,Operations,Ops Executive,2022-01-13,44786.0,Active,EMP0038,,
EMP0119,Employee_119,51,1973-05-03,Male,,9859491122,,Sales Executive,2018-06-25,,Active,EMP0040,ABCDE7299F,
EMP0120,Employee_120,58,1966-08-17,Male,emp120@company.com,9891202508,Marketing,Marketing Executive,2020-01-17,110437.0,Active,EMP0029,ABCDE6626F,
EMP0121,Employee_121,33,1991-08-17,Male,emp121@company.com,9868754920,Operations,Operations Analyst,2020-08-28,30130.0,Active,EMP0024,ABCDE5634F,
EMP0122,Employee_122,43,1981-11-11,Male,emp122@company.com,9894676162,Marketing,Brand Manager,2023-09-08,113984.0,Active,EMP0036,ABCDE5655F,
EMP0123,Employee_123,27,1997-05-21,Female,emp123@company.com,9856952151,Finance,Accountant,2018-09-27,101380.0,Active,EMP0009,ABCDE2388F,
EMP0124,Employee_124,43,1981-02-21,Other,emp124@company.com,9880651318,Finance,Auditor,2022-03-20,131585.0,Active,EMP0024,,
EMP0125,Employee_125,43,1981-04-05,Female,emp125@company.com,9835770506,Finance,Accountant,2017-05-27,149212.0,Active,EMP0007,ABCDE9843F,
EMP0126,Employee_126,43,1981-10-13,Male,emp126@company.com,9827589104,Legal,Legal Analyst,2022-06-04,139870.0,Active,EMP0045,ABCDE3712F,
EMP0127,Employee_127,48,1976-08-20,Other,emp127@company.com,9841880763,Operations,Coordinator,2015-06-28,72749.0,Active,EMP0029,ABCDE4918F,
EMP0128,Employee_128,45,1979-08-25,Female,emp128@company.com,9869135982,Finance,Auditor,2017-03-05,113907.0,Active,EMP0033,ABCDE3655F,
EMP0129,Employee_129,30,1994-08-28,Male,emp129@company.com,9896057593,Legal,Compliance Officer,2023-12-26,139426.0,Active,EMP0046,ABCDE3042F,
EMP0130,Employee_130,32,1992-03-27,Male,emp130@company.com,9878901038,Finance,Financial Analyst,2023-07-23,60755.0,Active,EMP0029,ABCDE1436F,
EMP0131,Employee_131,54,1970-06-08,Male,emp131@company.com,9820952896,Marketing,Marketing Executive,2019-06-12,74015.0,Active,EMP0046,ABCDE3392F,
EMP0132,Employee_132,52,1972-08-20,Male,emp132@company.com,9872962895,HR,HR Executive,2018-03-21,116235.0,Active,EMP0002,ABCDE3449F,
EMP0133,Employee_133,40,1984-04-14,Other,emp133@company.com,9816408822,Sales,BDM,2016-03-31,56147.0,Active,EMP0030,,
EMP0134,Employee_134,56,1968-04-23,Female,emp134@company.com,9887181563,Legal,Paralegal,2021-09-10,27154.0,Active,EMP0001,ABCDE4941F,
EMP0135,Employee_135,27,1997-09-18,Other,emp135@company.com,9819083764,Sales,BDM,2017-02-06,93614.0,Active,EMP0036,,
EMP0136,Employee_136,46,1978-06-26,Male,emp136@company.com,9812179995,Legal,Paralegal,2015-06-28,73929.0,Active,EMP0047,ABCDE2698F,
EMP0137,Employee_137,24,2000-03-27,Female,emp137@company.com,9896274567,Legal,Legal Manager,2016-06-30,71176.0,Inactive,EMP0045,ABCDE3986F,2022-10-04
EMP0138,Employee_138,40,1984-01-11,Other,,9836772387,,QA Analyst,2015-06-01,-51422.0,On Leave,EMP0026,ABCDE9897F,
EMP0139,Employee_139,34,1990-11-11,Female,emp139@company.com,9816416148,Marketing,SEO Analyst,2015-05-30,62501.0,Active,EMP0028,ABCDE8204F,
EMP0140,Employee_140,53,1971-05-26,Female,emp140@company.com,9879696025,Marketing,SEO Analyst,2017-02-04,115710.0,Active,EMP0006,ABCDE3956F,
EMP0141,Employee_141,28,1996-05-15,Female,emp141@company.com,9849680122,Sales,Sales Manager,2018-08-08,35494.0,Active,EMP0011,ABCDE6759F,
EMP0142,Employee_142,44,1980-11-26,Male,emp142@company.com,9846850196,Marketing,Marketing Executive,2023-02-25,105589.0,On Leave,EMP0043,ABCDE6952F,
EMP0143,Employee_143,31,1993-01-05,Other,emp143@company.com,9868810561,Sales,Account Manager,2015-05-08,136236.0,Active,EMP0024,ABCDE1530F,
EMP0144,Employee_144,50,1974-02-19,Female,emp144@company.com,9869584522,Sales,Account Manager,2022-08-13,149364.0,Active,EMP0026,ABCDE5566F,
EMP0145,Employee_145,33,1991-02-09,Other,emp145@company.com,9885386435,HR,HR Executive,2015-04-17,90410.0,Inactive,EMP0029,ABCDE5678F,2025-11-22
EMP0146,Employee_146,30,1994-12-15,Other,not_an_email,9833173544,Marketing,Content Writer,2016-05-17,136781.0,On Leave,EMP0021,ABCDE2063F,
EMP0147,Employee_147,32,1992-03-26,Male,emp147@company.com,9895590648,Sales,Sales Manager,2018-05-13,118298.0,Active,EMP0008,ABCDE3275F,
EMP0148,Employee_148,45,1979-09-05,Male,emp148@company.com,9872734149,HR,HR Analyst,2015-04-18,97616.0,Active,EMP0005,ABCDE8842F,
EMP0149,Employee_149,48,1976-06-21,Female,emp149@company.com,9826821075,Sales,BDM,2023-08-17,132916.0,Active,EMP0044,ABCDE3102F,
EMP0150,Employee_150,30,1994-02-17,Male,emp150@company.com,9817437386,Legal,Compliance Officer,2023-08-11,81704.0,Active,EMP0011,ABCDE4694F,
EMP0151,Employee_151,38,1986-05-05,Other,emp151@company.com,9883932683,Finance,Finance Manager,2015-11-20,50729.0,Active,EMP0035,,
EMP0152,Employee_152,31,1993-06-27,Male,emp152@company.com,9891220369,Operations,Process Manager,2021-08-21,47439.0,On Leave,EMP0002,,
EMP0153,Employee_153,35,1989-11-01,Other,emp153@company.com,9892961108,Operations,Ops Executive,2022-04-21,125526.0,Active,EMP0035,ABCDE5949F,
EMP0154,Employee_154,47,1977-03-15,Female,emp154@company.com,9818041391,Marketing,Content Writer,2022-09-06,63985.0,Active,EMP0014,ABCDE3353F,
EMP0155,Employee_155,44,1980-09-18,Male,emp155@company.com,9859733063,Finance,Finance Manager,2023-03-27,77260.0,Active,EMP0030,ABCDE8366F,
EMP0156,Employee_156,25,1999-07-08,Male,emp156@company.com,9892594562,HR,HR Manager,2016-02-01,63038.0,On Leave,EMP0021,ABCDE6123F,
EMP0157,Employee_157,54,1970-08-01,Female,emp157@company.com,9851411602,HR,HR Manager,2020-08-02,86186.0,Active,EMP0033,ABCDE4944F,
EMP0158,Employee_158,25,1999-11-16,Male,emp158@company.com,9897813295,HR,Recruiter,2015-07-19,61877.0,Active,EMP0007,ABCDE5333F,
EMP0159,Employee_159,47,1977-10-18,Other,,9816866268,,Ops Executive,2023-07-26,-72964.0,Active,EMP0019,,
EMP0160,Employee_160,57,1967-11-20,Male,emp160@company.com,9893650068,Sales,BDM,2023-07-28,61663.0,Active,EMP0026,ABCDE6555F,
EMP0161,Employee_161,31,1993-09-02,Male,emp161@company.com,9863873262,Sales,Sales Manager,2023-06-20,51090.0,Active,EMP0046,ABCDE8761F,
EMP0162,Employee_162,54,1970-06-06,Other,emp162@company.com,9892284610,Sales,BDM,2016-09-02,43321.0,Active,EMP0048,ABCDE6511F,
EMP0163,Employee_163,58,1966-06-11,Female,emp163@company.com,9812232974,Sales,BDM,2022-12-12,64294.0,Active,EMP0038,ABCDE1436F,
EMP0164,Employee_164,58,1966-08-06,Other,emp164@company.com,9888319168,Sales,BDM,2017-12-23,54824.0,Active,EMP0040,ABCDE7229F,
EMP0165,Employee_165,58,1966-01-15,Male,emp165@company.com,9835606639,HR,HR Manager,2015-05-10,149283.0,Active,EMP0027,ABCDE7723F,
EMP0166,Employee_166,25,1999-09-11,Female,emp166@company.com,9837828932,Sales,BDM,2023-04-02,117507.0,On Leave,EMP0034,ABCDE3837F,
EMP0167,Employee_167,44,1980-12-09,Male,emp167@company.com,9896343485,Marketing,SEO Analyst,2021-02-15,113587.0,Active,EMP0016,ABCDE5890F,
EMP0168,Employee_168,40,1984-06-16,Other,emp168@company.com,9875632882,HR,Recruiter,2023-08-25,117392.0,Active,EMP0018,ABCDE9899F,
EMP0169,Employee_169,31,1993-06-15,Other,,9820607151,,Brand Manager,2018-11-14,-63070.0,Active,EMP0031,ABCDE9824F,
EMP0170,Employee_170,28,1996-04-02,Other,emp170@company.com,9842115895,Finance,Finance Manager,2016-07-16,105698.0,Active,EMP0015,ABCDE1860F,
EMP0171,Employee_171,52,1972-01-18,Male,emp171@company.com,9828450513,Engineering,QA Analyst,2018-09-14,38178.0,On Leave,EMP0027,ABCDE8793F,
EMP0172,Employee_172,40,1984-02-21,Other,emp172@company.com,9817940667,Marketing,Content Writer,2023-06-24,67096.0,Active,EMP0048,ABCDE1611F,
EMP0173,Employee_173,24,2000-03-24,Female,emp173@company.com,9876489301,HR,HR Analyst,2016-12-21,134602.0,On Leave,EMP0003,,
EMP0174,Employee_174,40,1984-09-16,Male,emp174@company.com,9882920556,Sales,Sales Executive,2018-10-04,84552.0,Inactive,EMP0033,ABCDE4159F,2022-08-19
EMP0175,Employee_175,51,1973-01-24,Female,emp175@company.com,9834991216,Finance,Accountant,2023-03-14,109972.0,Active,EMP0037,ABCDE4164F,
EMP0176,Employee_176,54,1970-02-06,Female,not_an_email,9899826000,HR,HR Analyst,2019-10-18,67982.0,On Leave,EMP0021,ABCDE1111F,
EMP0177,Employee_177,50,1974-05-19,Male,emp177@company.com,9854241559,Finance,Auditor,2017-08-22,123796.0,Active,EMP0017,ABCDE4871F,
EMP0178,Employee_178,41,1983-12-25,Male,emp178@company.com,9877447155,Engineering,Software Engineer,2020-03-21,45934.0,Active,EMP0041,ABCDE5833F,
EMP0179,Employee_179,30,1994-06-14,Female,emp179@company.com,9891300905,Finance,Accountant,2017-06-16,87676.0,Active,EMP0049,ABCDE4578F,
EMP0180,Employee_180,27,1997-02-19,Other,emp180@company.com,9858557943,Legal,Compliance Officer,2022-08-18,93879.0,Active,EMP0033,ABCDE9792F,
EMP0181,Employee_181,55,1969-12-19,Other,emp181@company.com,9837568520,HR,HR Manager,2018-09-05,82912.0,Active,EMP0029,ABCDE8429F,
